word,definition,definitionEs,category
water,the clear liquid you drink,el líquido claro que bebes,food
juice,a drink made from fruit,una bebida hecha de fruta,food
coffee,a hot drink made from roasted beans,una bebida caliente hecha de granos tostados,food
tea,a hot drink made with leaves in water,una bebida caliente hecha con hojas en agua,food
milk,a white drink that comes from cows,una bebida blanca que viene de las vacas,food
bread,a baked food made from flour and water,una comida horneada hecha de harina y agua,food
rice,small white grains you cook and eat,granos blancos pequeños que se cocinan y se comen,food
fruit,the sweet part of a plant you can eat,la parte dulce de una planta que puedes comer,food
apple,a round fruit with red or green skin,una fruta redonda con piel roja o verde,food
egg,the round object a bird lays to have babies,objeto redondo que pone un ave para tener crías,food
meat,the flesh of animals used as food,la carne de animales usada como comida,food
fish,an animal that lives and swims in water,un animal que vive y nada en el agua,food
salt,white grains that add flavor to food,granos blancos que dan sabor a la comida,food
sugar,sweet white grains used to make food sweet,granos blancos dulces para endulzar la comida,food
breakfast,the first meal of the day,la primera comida del día,food
lunch,the meal you eat in the middle of the day,la comida del mediodía,food
dinner,the main meal you eat in the evening,la comida principal de la noche,food
kitchen,a room where food is cooked,una habitación donde se cocina comida,food
recipe,a set of steps for making a certain food,un conjunto de pasos para preparar cierta comida,food
flavor,how food or drink tastes,cómo sabe una comida o bebida,food
hungry,feeling like you need to eat,sentir que necesitas comer,food
eat,to put food in your mouth and swallow it,meter comida en la boca y tragarla,food
drink,to take liquid into your mouth and swallow it,tomar líquido por la boca y tragarlo,food
cook,to prepare food with heat,preparar comida con calor,food
happy,feeling good or pleased,sentirse bien o contento,feelings
sad,feeling unhappy,sentirse triste,feelings
excited,feeling very happy about something coming soon,muy feliz por algo que va a pasar pronto,feelings
angry,feeling very annoyed or mad,sentirse muy molesto o enojado,feelings
tired,feeling you need rest or sleep,sentir que necesitas descanso,feelings
calm,quiet and free of worry,tranquilo y sin preocupaciones,feelings
worried,feeling concerned about something,preocupado por algo,feelings
afraid,feeling scared or frightened,sentirse asustado,feelings
proud,feeling good about something you did,sentirse bien por algo que hiciste,feelings
stress,a feeling of worry or pressure,una sensación de preocupación o presión,feelings
love,a very strong good feeling for someone,un sentimiento muy fuerte y bueno por alguien,feelings
like,to enjoy something or someone,disfrutar algo o a alguien,feelings
